Experiment Name,Model,Window,Eval Date,Num Samples,TN_@k=50,FP_@k=50,FN_@k=50,TP_@k=50,TN_@k=60,FP_@k=60,FN_@k=60,TP_@k=60,precision_@k=50,precision_@k=60,recall_@k=50,recall_@k=60,accuracy_@k=50,accuracy_@k=60,balanced_acc_@k=50,balanced_acc_@k=60,f1_score_@k=50,f1_score_@k=60,log_loss_@k=50,log_loss_@k=60,roc_auc_score_@k=50,roc_auc_score_@k=60,brier_score_loss_@k=50,brier_score_loss_@k=60,Prediction Source,Referral Source,Result Output,Start Time,End Time,Total Time
Version 1.0,lin_reg,2016/10-2017/07,2017-01-01,495,442.00000,49.00000, 3.00000, 1.00000,433.00000,58.00000, 2.00000, 2.00000, 0.02000, 0.03333, 0.25000, 0.50000, 0.25000, 0.50000, 0.57510, 0.69094, 0.03704, 0.06250, 0.98694, 0.98694, 0.52749, 0.52749, 0.32991, 0.32991,../data/predictions/predictions.csv,../data/referrals/referrals.csv,../data/results/results.csv,2020-05-23 16:48:50.419159-04:00,2020-05-23 16:48:50.448096-04:00,0 days 00:00:00.028937000
Version 1.0,lin_reg,2017/01-2017/04,2017-01-01,495,442.00000,49.00000, 3.00000, 1.00000,433.00000,58.00000, 2.00000, 2.00000, 0.02000, 0.03333, 0.25000, 0.50000, 0.25000, 0.50000, 0.57510, 0.69094, 0.03704, 0.06250, 0.98694, 0.98694, 0.52749, 0.52749, 0.32991, 0.32991,../data/predictions/predictions.csv,../data/referrals/referrals.csv,../data/results/results.csv,2020-05-23 16:48:50.451076-04:00,2020-05-23 16:48:50.461081-04:00,0 days 00:00:00.010005000
Version 1.0,lin_reg,2017/01-2017/07,2017-01-01,495,442.00000,49.00000, 3.00000, 1.00000,433.00000,58.00000, 2.00000, 2.00000, 0.02000, 0.03333, 0.25000, 0.50000, 0.25000, 0.50000, 0.57510, 0.69094, 0.03704, 0.06250, 0.98694, 0.98694, 0.52749, 0.52749, 0.32991, 0.32991,../data/predictions/predictions.csv,../data/referrals/referrals.csv,../data/results/results.csv,2020-05-23 16:48:50.462044-04:00,2020-05-23 16:48:50.471065-04:00,0 days 00:00:00.009021000
Version 1.0,lin_reg,2017/01-2018/01,2017-01-01,495,439.00000,49.00000, 6.00000, 1.00000,430.00000,58.00000, 5.00000, 2.00000, 0.02000, 0.03333, 0.14286, 0.28571, 0.14286, 0.28571, 0.52122, 0.58343, 0.03509, 0.05970, 0.98211, 0.98211, 0.59456, 0.59456, 0.32780, 0.32780,../data/predictions/predictions.csv,../data/referrals/referrals.csv,../data/results/results.csv,2020-05-23 16:48:50.472017-04:00,2020-05-23 16:48:50.481991-04:00,0 days 00:00:00.009974000
Version 1.0,rand_forest,2016/10-2017/07,2017-01-01,495,443.00000,48.00000, 2.00000, 2.00000,433.00000,58.00000, 2.00000, 2.00000, 0.04000, 0.03333, 0.50000, 0.50000, 0.50000, 0.50000, 0.70112, 0.69094, 0.07407, 0.06250, 0.98813, 0.98813, 0.64358, 0.64358, 0.32953, 0.32953,../data/predictions/predictions.csv,../data/referrals/referrals.csv,../data/results/results.csv,2020-05-23 16:48:50.481991-04:00,2020-05-23 16:48:50.491964-04:00,0 days 00:00:00.009973000
Version 1.0,rand_forest,2017/01-2017/04,2017-01-01,495,443.00000,48.00000, 2.00000, 2.00000,433.00000,58.00000, 2.00000, 2.00000, 0.04000, 0.03333, 0.50000, 0.50000, 0.50000, 0.50000, 0.70112, 0.69094, 0.07407, 0.06250, 0.98813, 0.98813, 0.64358, 0.64358, 0.32953, 0.32953,../data/predictions/predictions.csv,../data/referrals/referrals.csv,../data/results/results.csv,2020-05-23 16:48:50.491964-04:00,2020-05-23 16:48:50.502947-04:00,0 days 00:00:00.010983000
Version 1.0,rand_forest,2017/01-2017/07,2017-01-01,495,443.00000,48.00000, 2.00000, 2.00000,433.00000,58.00000, 2.00000, 2.00000, 0.04000, 0.03333, 0.50000, 0.50000, 0.50000, 0.50000, 0.70112, 0.69094, 0.07407, 0.06250, 0.98813, 0.98813, 0.64358, 0.64358, 0.32953, 0.32953,../data/predictions/predictions.csv,../data/referrals/referrals.csv,../data/results/results.csv,2020-05-23 16:48:50.503952-04:00,2020-05-23 16:48:50.512916-04:00,0 days 00:00:00.008964000
Version 1.0,rand_forest,2017/01-2018/01,2017-01-01,495,440.00000,48.00000, 5.00000, 2.00000,430.00000,58.00000, 5.00000, 2.00000, 0.04000, 0.03333, 0.28571, 0.28571, 0.28571, 0.28571, 0.59368, 0.58343, 0.07018, 0.05970, 0.98659, 0.98659, 0.61300, 0.61300, 0.32879, 0.32879,../data/predictions/predictions.csv,../data/referrals/referrals.csv,../data/results/results.csv,2020-05-23 16:48:50.513906-04:00,2020-05-23 16:48:50.523895-04:00,0 days 00:00:00.009989000
Version 1.0,xg_boost,2016/10-2017/07,2017-01-01,495,441.00000,50.00000, 4.00000, 0.00000,431.00000,60.00000, 4.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.44908, 0.43890, 0.00000, 0.00000, 1.04143, 1.04143, 0.31976, 0.31976, 0.34027, 0.34027,../data/predictions/predictions.csv,../data/referrals/referrals.csv,../data/results/results.csv,2020-05-23 16:48:50.524881-04:00,2020-05-23 16:48:50.534866-04:00,0 days 00:00:00.009985000
Version 1.0,xg_boost,2017/01-2017/04,2017-01-01,495,441.00000,50.00000, 4.00000, 0.00000,431.00000,60.00000, 4.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.44908, 0.43890, 0.00000, 0.00000, 1.04143, 1.04143, 0.31976, 0.31976, 0.34027, 0.34027,../data/predictions/predictions.csv,../data/referrals/referrals.csv,../data/results/results.csv,2020-05-23 16:48:50.535861-04:00,2020-05-23 16:48:50.546840-04:00,0 days 00:00:00.010979000
Version 1.0,xg_boost,2017/01-2017/07,2017-01-01,495,441.00000,50.00000, 4.00000, 0.00000,431.00000,60.00000, 4.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.44908, 0.43890, 0.00000, 0.00000, 1.04143, 1.04143, 0.31976, 0.31976, 0.34027, 0.34027,../data/predictions/predictions.csv,../data/referrals/referrals.csv,../data/results/results.csv,2020-05-23 16:48:50.546840-04:00,2020-05-23 16:48:50.556791-04:00,0 days 00:00:00.009951000
Version 1.0,xg_boost,2017/01-2018/01,2017-01-01,495,439.00000,49.00000, 6.00000, 1.00000,429.00000,59.00000, 6.00000, 1.00000, 0.02000, 0.01667, 0.14286, 0.14286, 0.14286, 0.14286, 0.52122, 0.51098, 0.03509, 0.02985, 1.02345, 1.02345, 0.51727, 0.51727, 0.33690, 0.33690,../data/predictions/predictions.csv,../data/referrals/referrals.csv,../data/results/results.csv,2020-05-23 16:48:50.556791-04:00,2020-05-23 16:48:50.567798-04:00,0 days 00:00:00.011007000
Version 1.0,sgmm,2016/10-2017/07,2017-01-01,495,441.00000,50.00000, 4.00000, 0.00000,431.00000,60.00000, 4.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.44908, 0.43890, 0.00000, 0.00000, 0.96311, 0.96311, 0.41599, 0.41599, 0.32183, 0.32183,../data/predictions/predictions.csv,../data/referrals/referrals.csv,../data/results/results.csv,2020-05-23 16:48:50.568761-04:00,2020-05-23 16:48:50.577746-04:00,0 days 00:00:00.008985000
Version 1.0,sgmm,2017/01-2017/04,2017-01-01,495,441.00000,50.00000, 4.00000, 0.00000,431.00000,60.00000, 4.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.44908, 0.43890, 0.00000, 0.00000, 0.96311, 0.96311, 0.41599, 0.41599, 0.32183, 0.32183,../data/predictions/predictions.csv,../data/referrals/referrals.csv,../data/results/results.csv,2020-05-23 16:48:50.578731-04:00,2020-05-23 16:48:50.588734-04:00,0 days 00:00:00.010003000
Version 1.0,sgmm,2017/01-2017/07,2017-01-01,495,441.00000,50.00000, 4.00000, 0.00000,431.00000,60.00000, 4.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.44908, 0.43890, 0.00000, 0.00000, 0.96311, 0.96311, 0.41599, 0.41599, 0.32183, 0.32183,../data/predictions/predictions.csv,../data/referrals/referrals.csv,../data/results/results.csv,2020-05-23 16:48:50.589719-04:00,2020-05-23 16:48:50.598679-04:00,0 days 00:00:00.008960000
Version 1.0,sgmm,2017/01-2018/01,2017-01-01,495,438.00000,50.00000, 7.00000, 0.00000,428.00000,60.00000, 7.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.44877, 0.43852, 0.00000, 0.00000, 0.96132, 0.96132, 0.48712, 0.48712, 0.32100, 0.32100,../data/predictions/predictions.csv,../data/referrals/referrals.csv,../data/results/results.csv,2020-05-23 16:48:50.599676-04:00,2020-05-23 16:48:50.608652-04:00,0 days 00:00:00.008976000
